1:[1S, 8C, 13D, 12H]
3:[12S, 10C, 5D, 5S]
4:[13S, 10D, 2H, 5C]
5:[3D, 9S, 7D, 8H]
6:[4H, 7C, 6H, 1S]
7:[6S, 3S, 1D, 6D]
8:[3H, 7S, 12H, 13C]
9:[6S, 10H, 9C, 10S]
10:[9C, 8D, 1H, 10H]
11:[12D, 8C, 13H, 2C]
12:[1D, 9H, 6S, 11C]
13:[4S, 3S, 7H, 1C]
14:[2S, 10S, 13D, 6D]
15:[6C, 11H, 8S, 3C]
tie: p1,p3,4
1:[4H, 13D, 3S, 9H]
2:[4C, 6H, 7C, 12S]
3:[2H, 5S, 5C, 4D]
4:[7H, 9S, 10C, 12D]
5:[9D, 1S, 2S, 7D]
6:[4D, 5H, 11S, 2D]
7:[6C, 6D, 13S, 8S]
8:[13H, 4S, 11H, 11D]
9:[8D, 10H, 5D, 7S]
10:[12C, 12H, 6S, 1H]
11:[5C, 1H, 2C, 10D]
12:[5S, 11C, 12C, 3C]
13:[1C, 1D, 9C, 12H]
14:[6S, 2H, 8C, 8H]
15:[3D, 10S, 13C, 3H]
tie: p2,p3,4
1:[4H, 13H, 13C, 5C]
2:[1C, 10D, 8D, 4S]
3:[3C, 9D, 2C, 11C]
4:[6S, 10H, 11H, 8S]
5:[4D, 7C, 13C, 9C]
6:[8C, 8H, 2S, 4H]
7:[13D, 4H, 12H, 2D]
8:[1S, 9H, 2S, 6C]
9:[3D, 9S, 2H, 10C]
10:[13S, 3H, 6H, 8C]
11:[3S, 7S, 7H, 12D]
12:[5C, 11S, 5D, 7D]
13:[1H, 11D, 1D, 12C]
14:[4C, 10S, 6D, 12S]
15:[5H, 13H, 8H, 5S]
Winner: p3,5
